ASV;Subgroups;Infragroups;Class;Order;Family;Genus;Species
ASV2;Viridiplantae;Streptophyta;Pinopsida;Pinales;Pinaceae;Picea;Picea_likiangensis
ASV12;;;;;;;
ASV3;Viridiplantae;Streptophyta;Pinopsida;Pinales;Pinaceae;Pseudotsuga;Pseudotsuga_menziesii
ASV4;;;;;;;
ASV14;Viridiplantae;Streptophyta;Polypodiopsida;Polypodiales;Athyriaceae;Athyrium;Athyrium_amoenum
ASV1;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Alnus;Alnus_alnobetula
ASV8;;;;;;;
ASV5;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Oleaceae;Chionanthus;Chionanthus_ramiflorus
ASV7;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Plantago;Plantago_atrata
ASV9;;;;;;;
ASV11;Viridiplantae;Streptophyta;Polypodiopsida;Polypodiales;Athyriaceae;Athyrium;Athyrium_brevifrons
ASV18;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Hordeum;Hordeum_vulgare
ASV26;;;;;;;
ASV15;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Rhododendron;Rhododendron_sp.
ASV6;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Sorbus;Sorbus_commixta
ASV19;Viridiplantae;Streptophyta;Magnoliopsida;Cucurbitales;Cucurbitaceae;Austrobryonia;Austrobryonia_centralis
ASV13;Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Anethum;Anethum_foeniculum
ASV20;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Salvia;Salvia_austriaca
ASV22;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Vaccinium;Vaccinium_uliginosum
ASV34;;;;;;;
ASV16;;;;;;;
ASV28;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Phleum;Phleum_pratense
ASV23;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum;Eriophorum_chamissonis
ASV36;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus_balticus
ASV29;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Prunus;Prunus_fasciculata
ASV33;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Plantago;Plantago_radicata
ASV40;;;;;;;
ASV27;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Oryza;Oryza_sativa
ASV30;Viridiplantae;Streptophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;Dryopteris;Dryopteris_erythrosora
ASV42;;;;;;;
ASV48;;;;;;;
ASV31;Viridiplantae;Streptophyta;Magnoliopsida;Saxifragales;Saxifragaceae;Saxifraga;Saxifraga_marginata
ASV49;;;;;;;
ASV25;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Atractylis;Atractylis_carduus
ASV44;;;;;;;
ASV17;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix_myrtilloides
ASV54;;;;;;;
ASV45;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Deschampsia;Deschampsia_cespitosa
ASV47;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Calluna;Calluna_vulgaris
ASV43;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Campanulaceae;Phyteuma;Phyteuma_hemisphaericum
ASV60;;;;;;;
ASV41;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Festuca;Festuca_rupicola
ASV37;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Scorzoneroides;Scorzoneroides_carpetana
ASV55;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;Epilobium_brunnescens
ASV24;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Alchemilla;Alchemilla_pinnata
ASV38;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Adoxaceae;Sambucus;Sambucus_adnata
ASV21;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;Rubus_idaeus
ASV61;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus_subcaudatus
ASV63;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus_aconitifolius
ASV32;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex_bella
ASV75;Viridiplantae;Streptophyta;Pinopsida;Cupressales;Cupressaceae;Juniperus;Juniperus_rigida
ASV69;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;Epilobium_alsinifolium
ASV46;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Alnus;Alnus_alnobetula
ASV62;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Potentilla;Potentilla_indica
ASV10;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Cirsium;Cirsium_sp.
ASV35;;;;;;;
ASV52;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Potentilla;Potentilla_adscharica
ASV81;;;;;;;
ASV74;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Juncaceae;Luzula;Luzula_piperi
ASV66;;;;;;;
ASV82;;;;;;;
ASV72;Viridiplantae;Streptophyta;Magnoliopsida;Proteales;Platanaceae;Platanus;Platanus_x
ASV83;;;;;;;
ASV51;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Leontodon;Leontodon_boryi
ASV87;;;;;;;
ASV53;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Scorzoneroides;Scorzoneroides_cichoriacea
ASV89;;;;;;;
ASV99;;;;;;;
ASV67;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rosa;Rosa_odorata
ASV94;;;;;;;
ASV88;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Vaccinium;Vaccinium_vitis-idaea
ASV77;Viridiplantae;Streptophyta;Magnoliopsida;Liliales;Melanthiaceae;Veratrum;Veratrum_album
ASV68;;;;;;;
ASV78;Viridiplantae;Streptophyta;Magnoliopsida;Saxifragales;Saxifragaceae;Saxifraga;Saxifraga_taygetea
ASV105;;;;;;;
ASV64;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Calamagrostis;Calamagrostis_arenaria
ASV70;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Trisetum;Trisetum_subalpestre
ASV111;;;;;;;
ASV97;;;;;;;
ASV108;;;;;;;
ASV92;Viridiplantae;Streptophyta;Magnoliopsida;Geraniales;Geraniaceae;Geranium;Geranium_yesoense
ASV116;;;;;;;
ASV112;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Valeriana;Valeriana_elongata
ASV114;;;;;;;
ASV84;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Poa;Poa_pratensis
ASV39;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Chamaenerion;Chamaenerion_angustifolium
ASV127;;;;;;;
ASV58;;;;;;;
ASV122;;;;;;;
ASV104;;;;;;;
ASV71;;;;;;;
ASV130;;;;;;;
ASV117;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum;Hypericum_confertum
ASV119;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Oenothera;Oenothera_serrulata
ASV109;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Digitaria;Digitaria_ciliaris
ASV134;;;;;;;
ASV140;;;;;;;
ASV91;;;;;;;
ASV115;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Juncaceae;Oreojuncus;Oreojuncus_trifidus
ASV101;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Juglandaceae;Pterocarya;Pterocarya_fraxinifolia
ASV98;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Metalasia;Metalasia_cephalotes
ASV123;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Salvia;Salvia_pratensis
ASV103;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Orobanchaceae;Bartsia;Bartsia_alpina
ASV141;;;;;;;
ASV145;;;;;;;
ASV143;;;;;;;
ASV80;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Lotus;Lotus_stepposus
ASV152;;;;;;;
ASV126;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;Trifolium_lupinaster
ASV157;;;;;;;
ASV132;;;;;;;
ASV125;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Capsella;Capsella_bursa-pastoris
ASV151;;;;;;;
ASV163;;;;;;;
ASV137;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Arachis;Arachis_hypogaea
ASV139;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Ulmaceae;Ulmus;Ulmus_minor
ASV90;;;;;;;
ASV155;;;;;;;
ASV129;;;;;;;
ASV135;;;;;;;
ASV107;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Orobanchaceae;Melampyrum;Melampyrum_pratense
ASV167;;;;;;;
ASV106;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Pulsatilla;Pulsatilla_chinensis
ASV133;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;Trifolium_medium
ASV136;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Aconitum;Aconitum_hemsleyanum
ASV120;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Pedaliaceae;Sesamum;Sesamum_radiatum
ASV174;;;;;;;
ASV50;Viridiplantae;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Solanum;Solanum_nigrum
ASV169;;;;;;;
ASV124;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Thinopyrum;Thinopyrum_scirpeum
ASV113;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Orobanchaceae;Melampyrum;Melampyrum_sylvaticum
ASV168;;;;;;;
ASV171;;;;;;;
ASV159;;;;;;;
ASV118;Viridiplantae;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Solanum;Solanum_lycopersicum
ASV177;Viridiplantae;Streptophyta;Pinopsida;Pinales;Pinaceae;Picea;Picea_likiangensis
ASV164;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Violaceae;Viola;Viola_brevistipulata
ASV153;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex_duriuscula
ASV187;;;;;;;
ASV161;Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Bupleurum;Bupleurum_gibraltaricum
ASV149;Viridiplantae;Streptophyta;Magnoliopsida;Sapindales;Rutaceae;Citrus;Citrus_reticulata
ASV190;;;;;;;
ASV195;;;;;;;
ASV194;Viridiplantae;Streptophyta;Pinopsida;Cupressales;Cupressaceae;Hesperocyparis;Hesperocyparis_goveniana
ASV131;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Pericallis;Pericallis_appendiculata
ASV199;;;;;;;
ASV185;Viridiplantae;Streptophyta;Pinopsida;Cupressales;Cupressaceae;Chamaecyparis;Chamaecyparis_obtusa
ASV192;;;;;;;
ASV182;Viridiplantae;Streptophyta;Magnoliopsida;Gentianales;Gentianaceae;Gentiana;Gentiana_crassicaulis
ASV176;Viridiplantae;Streptophyta;Magnoliopsida;Gentianales;Rubiaceae;Galium;Galium_humifusum
ASV196;;;;;;;
ASV202;;;;;;;
ASV160;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Veronica;Veronica_schistosa
ASV197;;;;;;;
ASV207;;;;;;;
ASV209;;;;;;;
ASV162;Viridiplantae;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer_miaotaiense
ASV142;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae;Quercus;Quercus_ilex
ASV213;;;;;;;
ASV188;;;;;;;
ASV212;;;;;;;
ASV214;Viridiplantae;Streptophyta;Magnoliopsida;Boraginales;Boraginaceae;Myosotis;Myosotis_lithospermifolia
ASV166;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Capsella;Capsella_rubella
ASV193;;;;;;;
ASV204;Viridiplantae;Streptophyta;Magnoliopsida;Malvales;Cistaceae;Helianthemum;Helianthemum_apenninum
ASV128;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Knautia;Knautia_dipsacifolia
ASV100;Viridiplantae;Streptophyta;Magnoliopsida;Saxifragales;Grossulariaceae;Ribes;Ribes_rubrum
ASV210;;;;;;;
ASV205;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica_platyphylla
ASV220;;;;;;;
ASV211;;;;;;;
ASV228;;;;;;;
ASV156;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Nyctaginaceae;Bougainvillea;Bougainvillea_glabra
ASV180;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Lonicera;Lonicera_nigra
ASV186;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Silene;Silene_paucifolia
ASV226;;;;;;;
ASV223;;;;;;;
ASV232;;;;;;;
ASV189;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Chamaenerion;Chamaenerion_angustifolium
ASV229;;;;;;;
ASV240;;;;;;;
ASV234;;;;;;;
ASV172;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Vittadinia;Vittadinia_eremaea
ASV231;;;;;;;
ASV251;;;;;;;
ASV252;;;;;;;
ASV215;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Callitriche;Callitriche_palustris
ASV233;;;;;;;
ASV239;;;;;;;
ASV241;;;;;;;
ASV246;;;;;;;
ASV249;;;;;;;
ASV200;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Veronica;Veronica_macrostemon
ASV184;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Cardamine;Cardamine_amara
ASV256;Viridiplantae;Streptophyta;Pinopsida;Cupressales;Taxaceae;Taxus;Taxus_mairei
ASV208;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae;Quercus;Quercus_phillyraeoides
ASV242;;;;;;;
ASV269;;;;;;;
ASV260;;;;;;;
ASV263;;;;;;;
ASV230;;;;;;;
ASV270;;;;;;;
ASV181;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia_chinensis
ASV173;Viridiplantae;Streptophyta;Magnoliopsida;Zingiberales;Musaceae;Musa;Musa_balbisiana
ASV273;;;;;;;
ASV238;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus_kuepferi
ASV277;;;;;;;
ASV271;;;;;;;
ASV283;;;;;;;
ASV276;;;;;;;
ASV219;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Campanulaceae;Edraianthus;Edraianthus_serpyllifolius
ASV259;;;;;;;
ASV281;;;;;;;
ASV285;;;;;;;
ASV278;;;;;;;
ASV221;;;;;;;
ASV279;;;;;;;
ASV255;;;;;;;
ASV290;;;;;;;
ASV297;;;;;;;
ASV300;;;;;;;
ASV257;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Arctostaphylos;Arctostaphylos_uva-ursi
ASV262;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Violaceae;Viola;Viola_guadalupensis
ASV289;;;;;;;
ASV291;;;;;;;
ASV302;;;;;;;
ASV299;;;;;;;
ASV282;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Crambe;Crambe_hispanica
ASV286;;;;;;;
ASV178;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Valeriana;Valeriana_excelsa
ASV296;;;;;;;
ASV307;;;;;;;
ASV306;;;;;;;
ASV267;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Rorippa;Rorippa_barbareifolia
ASV303;;;;;;;
ASV308;;;;;;;
ASV309;;;;;;;
ASV275;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Primulaceae;Soldanella;Soldanella_minima
ASV253;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Adoxaceae;Viburnum;Viburnum_odoratissimum
ASV310;;;;;;;
ASV248;Viridiplantae;Streptophyta;Magnoliopsida;Proteales;Platanaceae;Platanus;Platanus_x
ASV315;;;;;;;
ASV313;;;;;;;
ASV319;;;;;;;
ASV320;;;;;;;
ASV323;;;;;;;
ASV301;Viridiplantae;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Anacardium;Anacardium_occidentale
ASV268;Viridiplantae;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Theobroma;Theobroma_cacao
ASV314;;;;;;;
ASV324;;;;;;;
ASV203;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex_bella
ASV245;Viridiplantae;Streptophyta;Magnoliopsida;Laurales;Lauraceae;Persea;Persea_americana
ASV216;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae;Quercus;Quercus_robur
ASV294;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Lentibulariaceae;Pinguicula;Pinguicula_ehlersiae
ASV329;;;;;;;
ASV316;;;;;;;
ASV332;;;;;;;
ASV298;;;;;;;
ASV322;;;;;;;
ASV328;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Polygalaceae;Polygala;Polygala_chamaebuxus
ASV330;;;;;;;
ASV331;;;;;;;
ASV317;;;;;;;
ASV338;;;;;;;
ASV335;;;;;;;
ASV333;;;;;;;
ASV337;;;;;;;
ASV288;;;;;;;
ASV321;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Robinia;Robinia_pseudoacacia
ASV351;;;;;;;
ASV342;;;;;;;
ASV274;Viridiplantae;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium_sativum
ASV353;;;;;;;
ASV325;;;;;;;
ASV339;;;;;;;
ASV352;;;;;;;
ASV326;;;;;;;
ASV345;;;;;;;
ASV343;;;;;;;
ASV344;;;;;;;
ASV336;;;;;;;
ASV348;Viridiplantae;Streptophyta;Pinopsida;Pinales;Pinaceae;Abies;Abies_concolor
ASV287;Viridiplantae;Streptophyta;Magnoliopsida;Solanales;Convolvulaceae;Convolvulus;Convolvulus_lineatus
ASV354;;;;;;;
ASV340;;;;;;;
ASV218;Viridiplantae;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer_campestre
ASV355;;;;;;;
ASV350;;;;;;;
ASV341;;;;;;;
ASV359;;;;;;;
ASV356;;;;;;;
ASV358;;;;;;;
ASV364;;;;;;;
ASV365;;;;;;;
ASV346;;;;;;;
ASV367;;;;;;;
ASV349;;;;;;;
ASV368;;;;;;;
ASV311;;;;;;;
ASV361;;;;;;;
ASV366;;;;;;;
ASV327;Viridiplantae;Streptophyta;Magnoliopsida;Saxifragales;Crassulaceae;Graptopetalum;Graptopetalum_bellum
ASV363;;;;;;;
ASV360;;;;;;;
ASV357;;;;;;;
ASV369;;;;;;;
ASV304;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Elaeagnaceae;Elaeagnus;Elaeagnus_multiflora
ASV362;;;;;;;
ASV347;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Cannabaceae;Humulus;Humulus_lupulus
ASV250;;;;;;;
ASV318;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Trollius;Trollius_sibiricus
ASV312;Viridiplantae;Streptophyta;Magnoliopsida;Asparagales;Asparagaceae;Chlorophytum;Chlorophytum_subpetiolatum
ASV293;Viridiplantae;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer_stachyophyllum